date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:17	35096/35096	---M--	200	added ('OK')	image/jpeg	etag:%225e7715a4-8918%22	https://technext.github.io/cleaning-company/images/person_3.jpg	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/images/person_3.jpg	(from https://technext.github.io/cleaning-company/index.html)
21:47:17	107498/107498	---M--	200	added ('OK')	image/jpeg	etag:%225e7715a4-1a3ea%22	https://technext.github.io/cleaning-company/images/work-1.jpg	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/images/work-1.jpg	(from https://technext.github.io/cleaning-company/index.html)
21:47:18	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://technext.github.io/cleaning-company/work-single.html	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/work-single.html	(from https://technext.github.io/cleaning-company/index.html)
21:47:18	87598/87598	---M--	200	added ('OK')	image/jpeg	etag:%225e7715a4-1562e%22	https://technext.github.io/cleaning-company/images/work-2.jpg	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/images/work-2.jpg	(from https://technext.github.io/cleaning-company/index.html)
21:47:22	76837/76837	---M--	200	added ('OK')	image/jpeg	etag:%225e7715a4-12c25%22	https://technext.github.io/cleaning-company/images/work-5.jpg	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/images/work-5.jpg	(from https://technext.github.io/cleaning-company/index.html)
21:47:22	125708/125708	---M--	200	added ('OK')	image/jpeg	etag:%225e7715a4-1eb0c%22	https://technext.github.io/cleaning-company/images/work-4.jpg	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/images/work-4.jpg	(from https://technext.github.io/cleaning-company/index.html)
21:47:22	336678/336678	---M--	200	added ('OK')	image/jpeg	etag:%225e7715a4-52326%22	https://technext.github.io/cleaning-company/images/bg_1.jpg	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/images/bg_1.jpg	(from https://technext.github.io/cleaning-company/index.html)
21:47:23	70706/70706	---M--	200	added ('OK')	image/jpeg	etag:%225e7715a4-11432%22	https://technext.github.io/cleaning-company/images/work-6.jpg	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/images/work-6.jpg	(from https://technext.github.io/cleaning-company/index.html)
21:47:23	101494/101494	---M--	200	added ('OK')	image/jpeg	etag:%225e7715a4-18c76%22	https://technext.github.io/cleaning-company/images/work-7.jpg	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/images/work-7.jpg	(from https://technext.github.io/cleaning-company/index.html)
21:47:24	140805/140805	---M--	200	added ('OK')	image/jpeg	etag:%225e7715a4-22605%22	https://technext.github.io/cleaning-company/images/work-3.jpg	C:/Users/Orange/Desktop/rahaf/cleaner/technext.github.io/cleaning-company/images/work-3.jpg	(from https://technext.github.io/cleaning-company/index.html)
